artist_name,listeners,tag
Andrea Roma,19675,minimal
Remute,15105,minimal
Spencer Parker,22421,minimal
Spencer Parker,22421,tech house
Shonky,22768,minimal
Shonky,22768,tech house
Jiggler,13680,minimal
Jiggler,13680,techno
Jiggler,13680,house
Jiggler,13680,tech house
Dimmish,9751,deep house
Dimmish,9751,minimal
Dimmish,9751,tech house
Ogris Debris,15507,deep house
Ogris Debris,15507,minimal
Ogris Debris,15507,house
Alex Spite,8473,minimal
Alex Spite,8473,techno
Alex Spite,8473,tech house
The Rice Twins,25385,minimal
Sogar,13337,minimal
Paco Osuna,20800,minimal
ADM,6279,minimal
Glimpse,17584,minimal
Glimpse,17584,tech house
Marcu Rares,8219,minimal
Marcu Rares,8219,house
Sossa,6099,minimal
ViLLΛGE,9676,minimal
Raudive,27730,minimal
Raudive,27730,tech house
Maxwell Stern,3998,minimal
Ruben de Gheselle,1177,minimal
Daniel Mehlhart,26472,minimal
Daniel Mehlhart,26472,tech house
Octave,8129,minimal
Octave,8129,techno
Axel Bartsch,26200,minimal
Axel Bartsch,26200,tech house
Adultnapper,21955,minimal
Adultnapper,21955,tech house
Frank Martiniq,25970,minimal
Kian Pourtorab,1497,minimal
Alex Dimou,12628,minimal
Duoteque,20203,minimal
Lucio Aquilina,31827,minimal
Damon Jee,11999,minimal
Damon Jee,11999,house
Dot.,9155,minimal
Dot.,9155,techno
Matzak,14399,minimal
Matzak,14399,tech house
Jokke Ilsøe,24559,minimal
Jokke Ilsøe,24559,tech house
ALIEN SKULL PAINT,7488,minimal
Butane,20501,minimal
Floor Overhead,16593,minimal
Louie Cut,7891,minimal
Uri,10078,minimal
Italoboyz,18083,minimal
Italoboyz,18083,tech house
"Kees Wieringa & Polo De Haas, Pianos",5236,minimal
Matty Lincoln,9126,minimal
Martin Books,8980,minimal
Martin Books,8980,techno
Martin Books,8980,tech house
Luna City Express,19247,deep house
Luna City Express,19247,minimal
Luna City Express,19247,tech house
Van Hai,10113,minimal
IG,11017,minimal
Misc.,12977,minimal
Mattheis,8462,minimal
Mattheis,8462,techno
Lucien-N-Luciano,18188,minimal
Digitaline,18045,minimal
Digitaline,18045,tech house
Matt John,23685,minimal
Format: B,12216,minimal
Format: B,12216,tech house
DJ Sam,5114,minimal
DJ Sam,5114,techno
DJ Sam,5114,house
Benfay,11999,minimal
moai,6988,minimal
moai,6988,techno
Peter Grummich,24654,minimal
Kadebostan,12372,minimal
Paul Frick,12057,minimal
Mike Shannon,15845,minimal
Mike Shannon,15845,tech house
"Floating Points, Pharoah Sanders & London Symphony Orchestra",1846,minimal
Jonathan Kaspar,9599,minimal
Jonathan Kaspar,9599,house
Jonathan Kaspar,9599,tech house
Freiboitar,10677,deep house
Freiboitar,10677,minimal
Freiboitar,10677,techno
Freiboitar,10677,house
Mosley Jr,8706,minimal
Mosley Jr,8706,house
Britta Arnold,12720,minimal
Britta Arnold,12720,tech house
Soukie & Windish,10318,deep house
Soukie & Windish,10318,minimal
Alexey Union,9328,minimal
Alexey Union,9328,techno
Alexey Union,9328,house
Alexey Union,9328,tech house
Lazzich,10162,minimal
Pheek,12446,minimal
Cascandy,11730,minimal
Cascandy,11730,tech house
Art Bleek,9156,minimal
Art Bleek,9156,tech house
Scott,7958,minimal
Ryuichi Sakamoto & Alva Noto,2753,minimal
Dilo,11606,minimal
Hast,16450,minimal
Hast,16450,techno
Audio Werner,14197,minimal
Audio Werner,14197,tech house
Marvin & Guy,9661,deep house
Marvin & Guy,9661,minimal
Marvin & Guy,9661,techno
Marvin & Guy,9661,tech house
Ben Remember,14227,minimal
Ben Remember,14227,techno
Stefan Goldmann,14460,minimal
Stefan Goldmann,14460,tech house
marow,3470,minimal
Marascia,17536,minimal
Marascia,17536,techno
Marascia,17536,tech house
ASR,5726,minimal
ASR,5726,techno
ASR,5726,tech house
ALEX DOVO,11635,minimal
ALEX DOVO,11635,techno
ALEX DOVO,11635,house
Kotelett & Zadak,11266,minimal
Kotelett & Zadak,11266,tech house
BBB,7209,minimal
Dyno,16944,minimal
Oliver Hacke,18751,minimal
DIVAD,6537,minimal
DIVAD,6537,techno
Philip Bader,16735,minimal
Philip Bader,16735,tech house
Thyladomid,11741,minimal
Plato,14201,minimal
Ron Costa,8798,minimal
Ron Costa,8798,tech house
Geoff White,14219,minimal
LAX,9367,minimal
NekliFF,7294,minimal
NekliFF,7294,techno
Deepchild,10147,minimal
Deepchild,10147,tech house
Quardo Rossi,5179,minimal
Quardo Rossi,5179,tech house
Dolby,3870,minimal
Dolby,3870,techno
Zamrish,148,minimal
Zamrish,148,house
Zamrish,148,tech house
Tom Ellis,7428,minimal
Marek Bois,23784,minimal
Paul dB+,21124,minimal
Sven Tasnadi,14238,minimal
DJ swat,7959,minimal
DJ swat,7959,techno
DJ swat,7959,house
Estroe,13661,minimal
Estroe,13661,tech house
Emil Lassaria,7884,minimal
The Pool,12608,minimal
Margaret Dygas,10035,minimal
Margaret Dygas,10035,tech house
LondonGround,8638,deep house
LondonGround,8638,minimal
LondonGround,8638,house
LondonGround,8638,tech house
Lázár tesók,2175,minimal
Jichael Mackson,11648,minimal
Jichael Mackson,11648,tech house
Dominik Eulberg & Gabriel Ananda,17979,minimal
Dominik Eulberg & Gabriel Ananda,17979,techno
Dominik Eulberg & Gabriel Ananda,17979,tech house
Nicolas Masseyeff,13723,minimal
TCO,7429,minimal
TCO,7429,techno
DJ Win,5775,minimal
DJ Win,5775,techno
DJ Win,5775,house
Keinseier,8696,minimal
Pantytec,21216,minimal
Seuil,14004,minimal
Seuil,14004,tech house
Safir,1845,minimal
Safir,1845,house
Guido Schneider,19057,minimal
Guido Schneider,19057,tech house
Sr Ortegon,9776,minimal
Sr Ortegon,9776,techno
Sr Ortegon,9776,house
Xeon,4200,minimal
Erman Erim,6799,minimal
Erman Erim,6799,techno
KOS,12111,minimal
Ray Okpara,15100,deep house
Ray Okpara,15100,minimal
Ray Okpara,15100,tech house
Luca Bacchetti,16297,minimal
Luca Bacchetti,16297,tech house
David Mayer,14290,minimal
David Mayer,14290,tech house
Ricky L feat. M:CK,15862,minimal
Ricky L feat. M:CK,15862,house
Phin,9250,minimal
Phin,9250,techno
Phin,9250,house
Andrea Bertolini,13692,minimal
